First name: Your name
Last name: Your last name
Date of test: YYYYMMDD
Serial number: GE1/1-X-S-SITE-0000
Req=5.200 MOhm	Time window=60 s

Vset	Vmon	Iset	Imon	R calc	R norm	Counts	Rate	Rate Err.
(V)	(V)	(uA)	(uA)	(MOhm)			(Hz)	(Hz)
200.000	200.200	38.462	40.450	4.949	0.952	0.000	0.000	0.000
400.000	400.000	76.923	80.850	4.947	0.951	0.000	0.000	0.000
600.000	600.000	115.385	121.250	4.948	0.952	0.000	0.000	0.000
800.000	800.000	153.846	161.750	4.946	0.951	0.000	0.000	0.000
1000.000	1000.000	192.308	202.300	4.943	0.951	0.000	0.000	0.000
1200.000	1200.000	230.769	242.850	4.941	0.950	0.000	0.000	0.000
1400.000	1400.200	269.231	283.450	4.940	0.950	0.000	0.000	0.000
1600.000	1600.200	307.692	324.000	4.939	0.950	0.000	0.000	0.000
1800.000	1800.200	346.154	364.700	4.936	0.949	0.000	0.000	0.000
2000.000	2000.200	384.615	405.450	4.933	0.949	0.000	0.000	0.000
2200.000	2200.200	423.077	446.150	4.932	0.948	0.000	0.000	0.000
2400.000	2400.200	461.538	486.850	4.930	0.948	0.000	0.000	0.000
2600.000	2600.400	500.000	527.650	4.928	0.948	0.000	0.000	0.000
2800.000	2800.400	538.462	568.500	4.926	0.947	0.000	0.000	0.000
3000.000	3000.200	576.923	609.300	4.924	0.947	0.000	0.000	0.000
3100.000	3100.400	596.154	629.800	4.923	0.947	0.000	0.000	0.000
3200.000	3200.200	615.385	650.250	4.921	0.946	0.000	0.000	0.000
3300.000	3300.400	634.615	670.650	4.921	0.946	0.000	0.000	0.000
3400.000	3400.200	653.846	691.200	4.919	0.946	0.000	0.000	0.000
3500.000	3500.000	673.077	711.550	4.919	0.946	0.000	0.000	0.000
3600.000	3600.200	692.308	732.150	4.917	0.946	0.000	0.000	0.000
3700.000	3700.200	711.538	752.600	4.917	0.945	0.000	0.000	0.000
3800.000	3800.200	730.769	773.150	4.915	0.945	0.000	0.000	0.000
3900.000	3900.200	750.000	793.700	4.914	0.945	0.000	0.000	0.000
4000.000	4000.200	769.231	814.150	4.913	0.945	0.000	0.000	0.000
4100.000	4100.000	788.462	834.750	4.912	0.945	0.000	0.000	0.000
4200.000	4200.000	807.692	855.350	4.910	0.944	0.000	0.000	0.000
4300.000	4300.000	826.923	875.950	4.909	0.944	0.000	0.000	0.000
4400.000	4400.000	846.154	896.600	4.907	0.944	0.000	0.000	0.000
4500.000	4500.000	865.385	917.300	4.906	0.943	0.000	0.000	0.000
4600.000	1.600	884.615	0.000	Inf	Inf	0.000	0.000	0.000
4700.000	0.000	903.846	0.000	NaN	NaN	0.000	0.000	0.000
4800.000	0.000	923.077	0.000	NaN	NaN	0.000	0.000	0.000
4900.000	0.000	942.308	0.000	NaN	NaN	0.000	0.000	0.000
